station_id,is_weekend,hour,target_bikes,capacity
ST0007,False,21,5,19
ST0007,False,22,4,19
ST0007,False,23,2,19
ST0007,True,0,2,19
ST0007,True,1,1,19
ST0007,True,2,1,19
ST0007,True,3,1,19
ST0007,True,4,0,19
ST0007,True,5,1,19
ST0007,True,6,1,19
ST0007,True,7,3,19
ST0007,True,8,1,19
ST0007,True,9,2,19
ST0007,True,10,2,19
ST0007,True,11,3,19
ST0007,True,12,2,19
ST0007,True,13,5,19
ST0007,True,14,1,19
ST0007,True,15,3,19
ST0007,True,16,2,19
ST0007,True,17,4,19
ST0007,True,18,2,19
ST0007,True,19,1,19
ST0007,True,20,5,19
ST0007,True,21,7,19
ST0007,True,22,4,19
ST0007,True,23,4,19
ST0008,False,0,1,13
ST0008,False,1,2,13
ST0008,False,2,1,13
ST0008,False,3,0,13
ST0008,False,4,1,13
ST0008,False,5,1,13
ST0008,False,6,1,13
ST0008,False,7,2,13
ST0008,False,8,4,13
ST0008,False,9,1,13
ST0008,False,10,3,13
ST0008,False,11,2,13
ST0008,False,12,4,13
ST0008,False,13,3,13
ST0008,False,14,4,13
ST0008,False,15,4,13
ST0008,False,16,3,13
ST0008,False,17,6,13
ST0008,False,18,8,13
ST0008,False,19,4,13
ST0008,False,20,5,13
ST0008,False,21,4,13
ST0008,False,22,5,13
ST0008,False,23,2,13
ST0008,True,0,2,13
ST0008,True,1,1,13
ST0008,True,2,1,13
ST0008,True,3,1,13
ST0008,True,4,1,13
ST0008,True,5,1,13
ST0008,True,6,1,13
ST0008,True,7,1,13
ST0008,True,8,3,13
ST0008,True,9,3,13
ST0008,True,10,2,13
ST0008,True,11,3,13
ST0008,True,12,3,13
ST0008,True,13,3,13
ST0008,True,14,3,13
ST0008,True,15,5,13
ST0008,True,16,4,13
ST0008,True,17,3,13
ST0008,True,18,5,13
ST0008,True,19,2,13
ST0008,True,20,2,13
ST0008,True,21,2,13
ST0008,True,22,7,13
ST0008,True,23,2,13
ST0010,False,0,1,6
ST0010,False,1,0,6
ST0010,False,2,0,6
ST0010,False,3,0,6
ST0010,False,4,0,6
ST0010,False,5,0,6
ST0010,False,6,0,6
ST0010,False,7,3,6
ST0010,False,8,3,6
ST0010,False,9,1,6
ST0010,False,10,1,6
ST0010,False,11,1,6
ST0010,False,12,2,6
ST0010,False,13,4,6
ST0010,False,14,1,6
ST0010,False,15,2,6
ST0010,False,16,4,6
ST0010,False,17,3,6
ST0010,False,18,2,6
ST0010,False,19,2,6
ST0010,False,20,2,6
ST0010,False,21,1,6
ST0010,False,22,1,6
ST0010,False,23,0,6
ST0010,True,0,0,6
ST0010,True,1,0,6
ST0010,True,2,1,6
ST0010,True,3,0,6
ST0010,True,4,0,6
ST0010,True,5,1,6
ST0010,True,6,0,6
ST0010,True,7,2,6
ST0010,True,8,0,6
ST0010,True,9,1,6
ST0010,True,10,1,6
ST0010,True,11,1,6
ST0010,True,12,2,6
ST0010,True,13,1,6
ST0010,True,14,1,6
ST0010,True,15,2,6
ST0010,True,16,4,6
ST0010,True,17,1,6
ST0010,True,18,1,6
ST0010,True,19,1,6
ST0010,True,20,2,6
ST0010,True,21,2,6
ST0010,True,22,1,6
ST0010,True,23,2,6
ST0011,False,0,1,11
ST0011,False,1,1,11
ST0011,False,2,1,11
ST0011,False,3,0,11
ST0011,False,4,0,11
ST0011,False,5,1,11
ST0011,False,6,1,11
ST0011,False,7,2,11
ST0011,False,8,2,11
ST0011,False,9,3,11
ST0011,False,10,4,11
ST0011,False,11,3,11
ST0011,False,12,7,11
ST0011,False,13,3,11
ST0011,False,14,2,11
ST0011,False,15,3,11
ST0011,False,16,4,11
ST0011,False,17,3,11
ST0011,False,18,3,11
ST0011,False,19,3,11
ST0011,False,20,3,11
ST0011,False,21,3,11
ST0011,False,22,1,11
ST0011,False,23,1,11
ST0011,True,0,1,11
ST0011,True,1,1,11
ST0011,True,2,0,11
ST0011,True,3,0,11
ST0011,True,4,1,11
ST0011,True,5,1,11
ST0011,True,6,0,11
ST0011,True,7,0,11
ST0011,True,8,2,11
ST0011,True,9,0,11
ST0011,True,10,2,11
ST0011,True,11,1,11
ST0011,True,12,2,11
ST0011,True,13,2,11
ST0011,True,14,2,11
ST0011,True,15,6,11
ST0011,True,16,3,11
ST0011,True,17,3,11
ST0011,True,18,2,11
ST0011,True,19,3,11
ST0011,True,20,1,11
ST0011,True,21,2,11
ST0011,True,22,2,11
ST0011,True,23,1,11
ST0012,False,0,1,9
ST0012,False,1,1,9
ST0012,False,2,0,9
ST0012,False,3,0,9
ST0012,False,4,0,9
ST0012,False,5,1,9
ST0012,False,6,1,9
ST0012,False,7,3,9
ST0012,False,8,3,9
ST0012,False,9,3,9
ST0012,False,10,3,9
ST0012,False,11,3,9
ST0012,False,12,4,9
ST0012,False,13,2,9
ST0012,False,14,5,9
ST0012,False,15,5,9
ST0012,False,16,5,9
ST0012,False,17,4,9
ST0012,False,18,4,9
ST0012,False,19,3,9
ST0012,False,20,4,9
ST0012,False,21,1,9
ST0012,False,22,3,9
ST0012,False,23,2,9
ST0012,True,0,1,9
ST0012,True,1,1,9
ST0012,True,2,1,9
ST0012,True,3,1,9
ST0012,True,4,1,9
ST0012,True,5,0,9
ST0012,True,6,0,9
ST0012,True,7,1,9
ST0012,True,8,1,9
ST0012,True,9,2,9
ST0012,True,10,2,9
ST0012,True,11,2,9
ST0012,True,12,2,9
ST0012,True,13,3,9
ST0012,True,14,3,9
ST0012,True,15,3,9
ST0012,True,16,3,9
ST0012,True,17,3,9
ST0012,True,18,3,9
ST0012,True,19,5,9
ST0012,True,20,2,9
ST0012,True,21,2,9
ST0012,True,22,2,9
ST0012,True,23,1,9
ST0013,False,0,1,11
ST0013,False,1,1,11
ST0013,False,2,0,11
ST0013,False,3,0,11
ST0013,False,4,0,11
ST0013,False,5,1,11
ST0013,False,6,1,11
ST0013,False,7,1,11
ST0013,False,8,10,11
ST0013,False,9,2,11
ST0013,False,10,2,11
ST0013,False,11,2,11
ST0013,False,12,2,11
ST0013,False,13,2,11
ST0013,False,14,2,11
ST0013,False,15,3,11
ST0013,False,16,2,11
ST0013,False,17,3,11
ST0013,False,18,7,11
ST0013,False,19,2,11
ST0013,False,20,3,11
ST0013,False,21,6,11
ST0013,False,22,3,11
ST0013,False,23,1,11
ST0013,True,0,3,11
ST0013,True,1,2,11
ST0013,True,2,0,11
ST0013,True,3,1,11
ST0013,True,4,0,11
ST0013,True,5,2,11
ST0013,True,6,0,11
ST0013,True,7,2,11
ST0013,True,8,1,11
ST0013,True,9,2,11
ST0013,True,10,5,11
ST0013,True,11,2,11
ST0013,True,12,2,11
ST0013,True,13,3,11
ST0013,True,14,2,11
ST0013,True,15,4,11
ST0013,True,16,4,11
ST0013,True,17,3,11
ST0013,True,18,2,11
ST0013,True,19,3,11
ST0013,True,20,2,11
ST0013,True,21,1,11
ST0013,True,22,1,11
ST0013,True,23,1,11
ST0014,False,0,2,27
ST0014,False,1,2,27
ST0014,False,2,1,27
ST0014,False,3,1,27
ST0014,False,4,1,27
ST0014,False,5,1,27
ST0014,False,6,3,27
